voter,rawScore
0xf1caf10c5fe421660e8fdf2c0cdaa0be68633b3e,20.85
0xc3c784d4414543dfab892c0574d816f638d79c95,21.27
0x57e043f2b8f7005e5f4ad88339db1b3212e8264c,18.46
0x99db44a434089abf7d5238f9683394405119572e,30.76
0xb95447257095c08bf4833d84c9dffc36acb823dc,4.9
0x20313bf6f3071fae1f44e23f1aed6950030bd1db,32.63
0x01ddb26f7c215ed317b83cf0c0023db7bd36117a,22.1
0x3ce8ce4a5ee7d6ef768df4ad35bf245e0d0314db,30.24
0x08a734b06101cebd19ee16216c25b952178a3b8c,17.62
0xdf1d83f83a773dafd3519e352f1369ff63cdda75,24.71
0x1e49515f9233e5c5865453f0dff9d346dcc3b261,21.9
0xc01cb3cef9fd7e9ea1fae7851de26ac3ef02ef23,15.22
0xb6de2f25d47f7246573ee50737f8962f2d34af76,24.09
0x6a07badd576d2bc2a4139f68be8d45f2164c7807,15.21
0x95ccd35ee17cce0ebf8a579b2877377aa898295c,23.25
0x77816f8761650b9493e451fe1f779d23ece7beed,17.93
0x7cd524401aac0b6f2cf0705bcb32f3ff91fff9de,16.26
0xd9f110264ee86a0e6ee34d2f0664cdc18e016199,14.59
0x46cc630ceb082986cce99ad030fe08f440cc5bf0,16.26
0x8e3a50fd3564b7027cc2a0d79d606d489ebc58bd,20.02
0x46331769a8a01947e07c310704893076a3409d36,35.14
0x9c6d8aecafc9155a1202c7b686e4b3f17e6e5835,21.48
0x01cf9fd2efa5fdf178bd635c3e2adf25b2052712,61.7
0xbf1f4dbbc3ce58179ad839bcdd784bfdafe4126d,19.18
0xf560f36da0a8e73467f6561203762cd73f5caf2c,26.9
0xa30dbf97450f81e352a1101c23415a3a40fa9902,30.45
0x2e6d956dc8f2e016de427bb3dd75272032578aa1,21.27
0x5291ddf46d13608d8092b194b869a20bd52ba476,12.19
0x67e3ace9eb925f581630afe8591cead564f40b63,25.78
0xf114e95080a0a56b20e749d37b6d943033a9b9f8,11.26
0x00627e45624c979a8ebc8c8a77f81c7b64c6867f,15.01
0xddcfad43fb08c29935f3c6752b3a0d4f64d17b3c,39.1
0xb6605f98a5562b1ac821bc5f2b75934239e8c6d6,12.62
0x4b8dd494dc4282925c2712ba0918f1bd8308eac3,20.13
0xe62affd664d914d71d6bbd4b4941613cfd81ca1e,32.12
0xabb2c4ce15b4385e43b194f9b264b549f7de6056,23.05
0xe9c2d3bf3a898f700cade5f5f4a89a5e5756f4e4,23.57
0xa2b16c27c0766a1df18892f7b0413b4f5806ee4d,35.45
0x83281bcea7bfea5846d40b59c1c6eabc045b660b,27.69
0x939780173b5d00b026a116dbdfe7b9f6f056be9c,30.86
0xaf39150ae78a476eb6dfba69c3fe59a88deb35b6,25.77
0x5600ff522af4782dee24727a306e13c6d810dc3c,35.55
0x54e250ea9b59f4d627b7c35570e7acd688916ba6,32.84
0xc2e2b715d9e302947ec7e312fd2384b5a1296099,22.63
0x4a40eb870dcf533d4dc097c3d87aafe9f64490a1,63.9
0xf0411b779b77f015c4f457dc15e9a57021163257,20.75
0x5b9e8bdd8b6ea310fd16230ebc6c093e6a0fb562,29.53
0x7990e82e6b57bd06b451013a93c04aea2701ac94,35.34
0xeb96efc429d44dc5d0e78c0814a208f967c83dc4,15.74
0x493be8b87eab14b5f9f1be4be403df86faf23219,21.68
0x8ade31a59cad61e163b70ce3c4a249038a25c21c,27.73
0xe0354d9294bea2165a8a965587f3e34411ba45f0,34.62
0x3e1404e9af1c94c9eaf8fa92e2c2e1a936ed8701,42.56
0x3def0038d0493b2ba32b45193e99673c901cc3bf,22.31
0x5a5b1c77ad8af3bd22aa5e83852fcc292e1b8b07,25.98
0x0ea3a94701239ad50ea268248e5f168bcea1606f,33.78
0x92b58c17534bbecd8e5ab190058eb35ec3e86267,40.03
0xf4accdfa928bf863d097ecf4c4bb57ad77aa0cb2,21.89
0x333c15f06669cba81366cf76319f013f9d387999,18.58
0x4c7d05a48b21e28dc7db902a012ce7f601f83bbe,20.23
0x627ca7601e943cbffd21aeeb7bb06b9a3137b0ec,50.17
0xcd0d4cdb238eec15fcf4ff9d13d5a59051e507d7,37.04
0xb08f95dbc639621dbaf48a472ae8fce0f6f56a6e,48.92
0x12ef2cd4231d5cf655a6cdd4ac1524ffaa439c17,38.19
0x9e856d1c484730c49e24c2ef78efb45ab19d03ae,19.91
0xefafad131feb58fffd1ccb7937495ec5025f205a,21.5
0xd27a04545e8ec1984ee62952fff11ac6a7adbfdf,30.24
0xb27a6a716169966991a15a995a0050ab5833c341,35.24
0x958bc7f87992791e89a5cfe764ff5541f6329642,32.11
0x9b00ce3fb353a08b08c42f9b052990a47e3c78bf,17.94
0xf1c7b271c649b3a5606e3c6f748ea7a8e4351d2b,32.01
0xd0ef3a2ae7fb496c0897400f1be46693b6183b0a,60.27
0xb71986fa8693947be114cf43e583f7b9093c45cf,35.86
0xa7abbf2a689762a8121ea6e151ab539dd6a6f18d,33.57
0xa8f5f683d7c5cff64b030a8303a32e0fcacee18f,29.84
0x60b6c219e86a10ddb4850cd6493d5469eaff80ae,21.06
0x2850528c81b2375c53e15ce8cd945408953b2b40,25.75
0x7a747d27d69aac725c1b0ba1cc6b18768f991a4a,16.68
0x875bde4c417e22035c03bac45bb953d8000aba70,26.93
0x163d1a5708e536605e7b7b4b3b46a95dbf517800,30.45
0x38443de4140c744ce9f4fa72174d65e2a4daa6da,22.43
0xb7a322b62994033f3c6cf816d31ec66b4d4aabc9,25.02
0x9b532e50bd91c51a5a4337d22d4be04a088ce3c2,26.65
0xedf97c27342571a69d8c8ca545da1aff90644282,25.85
0xaf64897c75d3d6bb9e7e4ac191000b86ed2fe1b2,15.12
0x9b498307d6351676d962afe208d44cead53d2908,25.12
0xee4ce5ca2c2a76d2346bb1b3e98e01b03553d4e5,38.47
0xcfe68cd3c77e00f06ac6f987264527a0b0c64f76,20.92
0x035b40c42101171a3a7f95744c3230fecb628950,16.36
0x1ae19f33d891400f929a86fb3fb94362f49acf0a,18.32
0x0386ea92657f30c2b660f68ce2367ba0dce6904b,19.28
0xe3918f2540b869c6568e259df9ad8b31001189e8,19.39
0x5a9c734d86b596b381d042f63fe5fc98c7149ee4,20.12
0x175c2a83c001ab70c4e772591e0a0b26e573e397,24.29
0x959740d1608c4124cee7d1319d413f3348f221ae,23.98
0x92ff9e4b6bafa6b7a5607f1b5ab1795cb15360b1,38.16
